population,n_responders,n_nonresponders,responders_median_pct,nonresponders_median_pct,mannwhitney_u,p_value,p_value_fdr_bh,significant_at_0_05_fdr
cd4_t_cell,993,975,30.2206,29.6576,515276.0,0.013344218813937624,0.06672109406968811,False
b_cell,993,975,9.4323,9.7884,459971.0,0.055702309738266245,0.1392557743456656,False
nk_cell,993,975,14.5093,14.7991,464546.0,0.1210507982042857,0.20175133034047618,False
monocyte,993,975,19.6097,19.9423,466510.0,0.16315013268752876,0.20393766585941095,False
cd8_t_cell,993,975,24.728,24.6031,478176.0,0.6390858847346418,0.6390858847346418,False
